@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

'kredyt przyznany',10,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20200315.1725,21,9,7,2,0,77.777778,22.222222,0,0.571429,0.29819,0.452192,59.351314,89.920443,9.07505,8.500576,0.574474,1.008339,0.944508,0.06383,3.805546,0.422838,41.93416,1,4,0.4,2,0.6,3,0,0,0.666667,1,0.8,0.632456,0.75,0.666667,0.777778,0.177778,0.822222,0.222222,0.851852,0.777778,0.772222,0.632456,0.75,0.765432,0.775,0.777778,0,0,0.000332,0.000034,0.332,0.034,10257,4470,3066,88.888889,66.666667,?,0,0,0,0,-71.278293,-78.149895,-79.871217,-75.170866,-66.170866,?,?,?
'kredyt przyznany',1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20200315.1725,20,10,7,3,0,70,30,0,0.4,0.284092,0.50385,56.818453,100.769907,10,13.332816,-3.332816,1,1.333282,-0.333282,4.261033,0.426103,42.610331,0.6,3,0.2,1,0.8,4,0.4,2,0.75,0.6,0.666667,0.408248,0.84,0.885,0.7,0.3,0.7,0.3,0.708333,0.7,0.69697,0.408248,0.84,0.868929,0.69697,0.7,0,0,0.000073,0.000052,0.073,0.052,4199,4353,3183,80,60,?,?,?,?,?,?,?,?,?,?,?,?,?
'kredyt przyznany',2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20200315.1725,20,10,8,2,0,80,20,0,0.6,0.235269,0.423112,47.05375,84.622431,10,11.34955,-1.34955,1,1.134955,-0.134955,5.297186,0.529719,52.971857,0.8,4,0.2,1,0.8,4,0.2,1,0.8,0.8,0.8,0.6,0.84,0.885,0.8,0.2,0.8,0.2,0.8,0.8,0.8,0.6,0.84,0.868929,0.8,0.8,0,0,0.000059,0.000045,0.059,0.045,4199,4353,3183,90,65,?,?,?,?,?,?,?,?,?,?,?,?,?
'kredyt przyznany',3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20200315.1725,21,9,8,1,0,88.888889,11.111111,0,0.769231,0.2075,0.38178,41.300569,75.918823,9.07505,7.348008,1.727042,1.008339,0.816445,0.191894,5.465551,0.607283,60.226129,0.75,3,0,0,1,5,0.25,1,1,0.75,0.857143,0.790569,0.9,0.916667,0.888889,0.138889,0.861111,0.111111,0.907407,0.888889,0.886003,0.790569,0.9,0.922222,0.883117,0.888889,0,0,0.000059,0.000085,0.059,0.085,4199,4470,3066,88.888889,61.111111,?,?,?,?,?,?,?,?,?,?,?,?,?
'kredyt przyznany',4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20200315.1725,21,9,7,2,0,77.777778,22.222222,0,0.526316,0.239503,0.470863,47.670322,93.633371,9.07505,14.688612,-5.613562,1.008339,1.632068,-0.623729,4.825429,0.536159,53.172485,0.5,2,0,0,1,5,0.5,2,1,0.5,0.666667,0.597614,0.9,0.8875,0.777778,0.277778,0.722222,0.222222,0.84127,0.777778,0.759259,0.597614,0.9,0.918254,0.75,0.777778,0,0,0.000058,0.000041,0.058,0.041,4199,4470,3066,77.777778,55.555556,?,?,?,?,?,?,?,?,?,?,?,?,?
'kredyt przyznany',5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20200315.1725,20,10,8,2,0,80,20,0,0.6,0.242344,0.449523,48.468703,89.904582,10,10.757011,-0.757011,1,1.075701,-0.075701,5.247372,0.524737,52.473723,0.6,3,0,0,1,5,0.4,2,1,0.6,0.75,0.654654,0.84,0.87619,0.8,0.2,0.8,0.2,0.857143,0.8,0.791667,0.654654,0.84,0.87619,0.791667,0.8,0,0,0.000055,0.000052,0.055,0.052,4199,4353,3183,80,60,?,?,?,?,?,?,?,?,?,?,?,?,?
'kredyt przyznany',6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20200315.1725,21,9,8,1,0,88.888889,11.111111,0,0.780488,0.195125,0.357418,38.837349,71.0743,9.07505,10.350232,-1.275182,1.008339,1.150026,-0.141687,5.843129,0.649237,64.386742,1,4,0.2,1,0.8,4,0,0,0.8,1,0.888889,0.8,0.85,0.804167,0.888889,0.088889,0.911111,0.111111,0.911111,0.888889,0.888889,0.8,0.85,0.871296,0.888889,0.888889,0,0.001,0.000063,0.000205,0.063,0.205,4199,4470,3066,88.888889,77.777778,?,?,?,?,?,?,?,?,?,?,?,?,?
'kredyt przyznany',7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20200315.1725,20,10,9,1,0,90,10,0,0.8,0.143591,0.275934,28.718135,55.186838,10,3.305288,6.694712,1,0.330529,0.669471,7.288866,0.728887,72.888656,0.8,4,0,0,1,5,0.2,1,1,0.8,0.888889,0.816497,1,1,0.9,0.1,0.9,0.1,0.916667,0.9,0.89899,0.816497,1,1,0.89899,0.9,0,0,0.000063,0.000055,0.063,0.055,4199,4353,3183,100,70,?,?,?,?,?,?,?,?,?,?,?,?,?
'kredyt przyznany',8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20200315.1725,21,9,8,1,0,88.888889,11.111111,0,0.780488,0.200638,0.322277,39.934622,64.086242,9.07505,3.849564,5.225486,1.008339,0.427729,0.58061,5.545464,0.616163,61.106708,1,4,0.2,1,0.8,4,0,0,0.8,1,0.888889,0.8,0.9,0.8875,0.888889,0.088889,0.911111,0.111111,0.911111,0.888889,0.888889,0.8,0.9,0.918254,0.888889,0.888889,0,0,0.000063,0.000039,0.063,0.039,4199,4470,3066,100,72.222222,?,?,?,?,?,?,?,?,?,?,?,?,?
'kredyt przyznany',9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20200315.1725,20,10,8,2,0,80,20,0,0.6,0.177047,0.39006,35.409446,78.012046,10,6.752608,3.247392,1,0.675261,0.324739,6.373921,0.637392,63.739214,0.8,4,0.2,1,0.8,4,0.2,1,0.8,0.8,0.8,0.6,0.96,0.966667,0.8,0.2,0.8,0.2,0.8,0.8,0.8,0.6,0.96,0.966667,0.8,0.8,0,0,0.000063,0.00005,0.063,0.05,4199,4353,3183,90,55,?,?,?,?,?,?,?,?,?,?,?,?,?
